hour,coverage,tolerance_min
0,0.005935976256094976,60
1,0.005935976256094976,60
2,0.00105999576001696,60
3,0.19520881916472335,60
4,0.8509645961416155,60
5,0.9391138435446258,60
6,0.9410218359126563,60
7,0.9463218147127411,60
8,0.9458978164087344,60
9,0.7507737969048124,60
10,0.0898876404494382,60
11,0.0020775916896332413,60
12,0.19622641509433963,60
13,0.8600381598473607,60
14,0.9486962052151792,60
15,0.7544625821496714,60
16,0.09065083739665042,60
17,0.0018655925376298494,60
18,0.1966504133983464,60
19,0.8586389654441382,60
20,0.9481026075895697,60
21,0.7533601865592537,60
22,0.09137163451346195,60
23,0.0008903964384142463,60
0,0.005935976256094976,120
1,0.006995972016111935,120
2,0.2011447954208183,120
3,0.8509645961416155,120
4,0.9391138435446258,120
5,0.9443714225143099,120
6,0.9738393046427815,120
7,0.9752808988764045,120
8,0.9513249947000212,120
9,0.9459826160695357,120
10,0.7519185923256307,120
11,0.28611405554377783,120
12,0.8609709561161756,120
13,0.9498410006359974,120
14,0.950688997244011,120
15,0.9495442018231927,120
16,0.7554801780792877,120
17,0.2873012507949968,120
18,0.8594869620521518,120
19,0.9491202035191859,120
20,0.9500105999576002,120
21,0.9489930040279839,120
22,0.7533601865592537,120
23,0.09137163451346195,120
0,0.006995972016111935,180
1,0.2011447954208183,180
2,0.8518973924104304,180
3,0.9395802416790333,180
4,0.9443714225143099,180
5,0.9738393046427815,180
6,0.9782912868348527,180
7,0.978376086495654,180
8,0.9753656985372059,180
9,0.9513249947000212,180
10,0.9503073987704049,180
11,0.9753656985372059,180
12,0.9556497774008904,180
13,0.950816196735213,180
14,0.950688997244011,180
15,0.950688997244011,180
16,0.9550985796056816,180
17,0.9772736909052364,180
18,0.9542081831672673,180
19,0.9500529997880008,180
20,0.9500105999576002,180
21,0.9500105999576002,180
22,0.9489930040279839,180
23,0.7533601865592537,180
