model,month,pct_migration
a,1,64.09722222222223
a,2,64.44780635400907
a,3,63.448784082535006
a,4,72.01716738197425
a,5,68.18181818181819
a,6,60.512129380053906
a,7,62.08955223880597
a,8,68.87206058190515
a,9,73.46368715083798
a,10,71.23165851489551
a,11,67.45725317153888
a,12,65.17119244391972
b,1,100.0
b,2,100.0
b,3,100.0
b,4,88.32618025751073
b,5,56.0
b,6,29.447439353099732
b,7,23.880597014925375
b,8,42.68632921482662
b,9,84.35754189944134
b,10,96.70964873277012
b,11,98.56591285162713
b,12,98.99645808736717
