familia,hiperparámetro,valor,motivo
Random Forest,n_estimators,300,Suficiente para varianza estable; coste lineal
Random Forest,max_depth,12,Corta el crecimiento; evita memorización a hojas únicas
Random Forest,min_samples_leaf,10,Hojas con ≥10 muestras → no memoriza filas sueltas
XGBoost,learning_rate,"0,05",Tasa baja + early stopping para no saltarse el óptimo
XGBoost,max_depth,6,Profundidad moderada; clave anti-overfit en boosting
XGBoost,min_child_weight,10,Equivalente a min_samples_leaf en boosting
XGBoost,subsample,"0,8",Bagging estocástico de filas
XGBoost,colsample_bytree,"0,8",Bagging estocástico de columnas
XGBoost,n_estimators,1000 + early stopping 50,Se ajusta automático al problema
XGBoost,tree_method,hist,Acelera multiclase de alta cardinalidad
LightGBM,learning_rate,"0,05",Idem XGBoost
LightGBM,num_leaves,31,Equivalente a max_depth en LightGBM
LightGBM,min_child_samples,20,Hojas con suficiente soporte
LightGBM,subsample / colsample_bytree,"0,8 / 0,8",Idem XGBoost
LightGBM,n_estimators,1000 + early stopping 50,Idem
