feature,importance,modo,modelo
lat,0.3420218113252056,personalizado,rf
lon,0.3294376417162191,personalizado,rf
bird_id,0.12309435294514616,personalizado,rf
posterior_b_migracion,0.06382270219816202,personalizado,rf
step_length_km,0.05881822506933685,personalizado,rf
cos_doy,0.03564704757213126,personalizado,rf
sin_doy,0.034349464228777285,personalizado,rf
cos_turning_angle,0.00820003025930717,personalizado,rf
state_b,0.004608724685714616,personalizado,rf
lat,0.4138911962509155,poblacional,xgb
lon,0.33310309052467346,poblacional,xgb
posterior_b_migracion,0.052654609084129333,poblacional,xgb
step_length_km,0.050340134650468826,poblacional,xgb
state_b,0.045961182564496994,poblacional,xgb
cos_doy,0.04315287247300148,poblacional,xgb
sin_doy,0.042288001626729965,poblacional,xgb
cos_turning_angle,0.01860894449055195,poblacional,xgb
