feature,importance,version,modo,familia
lat,0.3420218113252056,L1-v0,personalizado,rf
lon,0.3294376417162191,L1-v0,personalizado,rf
bird_id,0.12309435294514616,L1-v0,personalizado,rf
posterior_b_migracion,0.06382270219816202,L1-v0,personalizado,rf
step_length_km,0.05881822506933685,L1-v0,personalizado,rf
cos_doy,0.03564704757213126,L1-v0,personalizado,rf
sin_doy,0.034349464228777285,L1-v0,personalizado,rf
cos_turning_angle,0.00820003025930717,L1-v0,personalizado,rf
state_b,0.004608724685714616,L1-v0,personalizado,rf
lat,0.31828689268183724,L1-v1,personalizado,rf
lon,0.29297447768604423,L1-v1,personalizado,rf
bird_id,0.1318264036619065,L1-v1,personalizado,rf
posterior_b_migracion,0.06120319340701064,L1-v1,personalizado,rf
step_length_km,0.05006392625603931,L1-v1,personalizado,rf
cos_doy,0.042734460639350755,L1-v1,personalizado,rf
sin_doy,0.03728727241485374,L1-v1,personalizado,rf
wind_u_850,0.023114269997263747,L1-v1,personalizado,rf
wind_speed_850,0.016125863476907053,L1-v1,personalizado,rf
wind_v_850,0.012891828241734876,L1-v1,personalizado,rf
cos_turning_angle,0.00825605282650867,L1-v1,personalizado,rf
state_b,0.005235358710543334,L1-v1,personalizado,rf
lat,0.32880979776382446,L1-v0,personalizado,xgb
lon,0.27014976739883423,L1-v0,personalizado,xgb
bird_id,0.17833185195922852,L1-v0,personalizado,xgb
state_b,0.05267562344670296,L1-v0,personalizado,xgb
step_length_km,0.043488502502441406,L1-v0,personalizado,xgb
posterior_b_migracion,0.04233698546886444,L1-v0,personalizado,xgb
sin_doy,0.03524916619062424,L1-v0,personalizado,xgb
cos_doy,0.03445082902908325,L1-v0,personalizado,xgb
cos_turning_angle,0.014507471583783627,L1-v0,personalizado,xgb
lat,0.31022658944129944,L1-v1,personalizado,xgb
lon,0.24958443641662598,L1-v1,personalizado,xgb
bird_id,0.18413038551807404,L1-v1,personalizado,xgb
posterior_b_migracion,0.043262846767902374,L1-v1,personalizado,xgb
step_length_km,0.042417291551828384,L1-v1,personalizado,xgb
sin_doy,0.03916047513484955,L1-v1,personalizado,xgb
cos_doy,0.03803455829620361,L1-v1,personalizado,xgb
state_b,0.02435894124209881,L1-v1,personalizado,xgb
wind_u_850,0.021560458466410637,L1-v1,personalizado,xgb
wind_speed_850,0.01847176067531109,L1-v1,personalizado,xgb
wind_v_850,0.014787851832807064,L1-v1,personalizado,xgb
cos_turning_angle,0.014004340395331383,L1-v1,personalizado,xgb
lat,0.37338115091473045,L1-v0,poblacional,rf
lon,0.36146281688542525,L1-v0,poblacional,rf
posterior_b_migracion,0.07988966794212533,L1-v0,poblacional,rf
step_length_km,0.0637056532586699,L1-v0,poblacional,rf
cos_doy,0.05094320571385765,L1-v0,poblacional,rf
sin_doy,0.045898901251330206,L1-v0,poblacional,rf
cos_turning_angle,0.018397038836548318,L1-v0,poblacional,rf
state_b,0.006321565197312877,L1-v0,poblacional,rf
lat,0.3635333398181894,L1-v1,poblacional,rf
lon,0.3457630654141507,L1-v1,poblacional,rf
posterior_b_migracion,0.06642392271792158,L1-v1,poblacional,rf
step_length_km,0.0576692675867225,L1-v1,poblacional,rf
cos_doy,0.04464963347629847,L1-v1,poblacional,rf
sin_doy,0.03858267499581286,L1-v1,poblacional,rf
wind_u_850,0.02736271458973226,L1-v1,poblacional,rf
wind_v_850,0.019924157683842328,L1-v1,poblacional,rf
wind_speed_850,0.019086958255712497,L1-v1,poblacional,rf
cos_turning_angle,0.010991042976078872,L1-v1,poblacional,rf
state_b,0.006013222485538277,L1-v1,poblacional,rf
lat,0.4138911962509155,L1-v0,poblacional,xgb
lon,0.33310309052467346,L1-v0,poblacional,xgb
posterior_b_migracion,0.052654609084129333,L1-v0,poblacional,xgb
step_length_km,0.050340134650468826,L1-v0,poblacional,xgb
state_b,0.045961182564496994,L1-v0,poblacional,xgb
cos_doy,0.04315287247300148,L1-v0,poblacional,xgb
sin_doy,0.042288001626729965,L1-v0,poblacional,xgb
cos_turning_angle,0.01860894449055195,L1-v0,poblacional,xgb
lat,0.3619876801967621,L1-v1,poblacional,xgb
lon,0.30606943368911743,L1-v1,poblacional,xgb
posterior_b_migracion,0.058700788766145706,L1-v1,poblacional,xgb
step_length_km,0.04778642952442169,L1-v1,poblacional,xgb
cos_doy,0.04750596731901169,L1-v1,poblacional,xgb
sin_doy,0.04561872035264969,L1-v1,poblacional,xgb
state_b,0.04515255242586136,L1-v1,poblacional,xgb
wind_u_850,0.0262595284730196,L1-v1,poblacional,xgb
wind_speed_850,0.024583764374256134,L1-v1,poblacional,xgb
wind_v_850,0.018687661737203598,L1-v1,poblacional,xgb
cos_turning_angle,0.017647529020905495,L1-v1,poblacional,xgb
