modelo,modo,version,state_b,n,top1,dist_med_km
rf,personalizado,L1-v0,0,3514,0.7214001138303927,20.97587752578233
rf,personalizado,L1-v1,0,3511,0.6812873825121049,21.97873328006081
rf,personalizado,L1-v0,1,523,0.124282982791587,196.39860947245245
rf,personalizado,L1-v1,1,522,0.1111111111111111,234.2232393678873
rf,poblacional,L1-v0,0,3514,0.6229368241320432,23.7397775358141
rf,poblacional,L1-v1,0,3511,0.6696097977784107,22.139684125723033
rf,poblacional,L1-v0,1,523,0.11089866156787763,219.53771622141292
rf,poblacional,L1-v1,1,522,0.10727969348659004,205.75978066892887
xgb,personalizado,L1-v0,0,3514,0.6974957313602732,21.46631910247736
xgb,personalizado,L1-v1,0,3511,0.6972372543434919,21.451743816391943
xgb,personalizado,L1-v0,1,523,0.1147227533460803,190.32963834962533
xgb,personalizado,L1-v1,1,522,0.11494252873563218,175.75176270313682
xgb,poblacional,L1-v0,0,3514,0.6815594763801935,22.064105872056643
xgb,poblacional,L1-v1,0,3511,0.6852748504699516,21.76810548891516
xgb,poblacional,L1-v0,1,523,0.12810707456978968,164.04070839726597
xgb,poblacional,L1-v1,1,522,0.11494252873563218,175.20282339264887
