familia,modo,scope,dist_centroide_km,dist_nativa_km
xgb,poblacional,global,20.92640241195915,2.8862465229765597
xgb,poblacional,estacionario,19.2476349451534,2.3003124069957948
xgb,poblacional,migración,62.679150525394355,60.91636778386276
xgb,poblacional,moves,40.68303807441781,29.82840166970604
lgbm,poblacional,global,20.91569533679919,2.7148139413095995
lgbm,poblacional,estacionario,19.2476349451534,2.1136377818534635
lgbm,poblacional,migración,62.23598339969749,61.749578848553384
lgbm,poblacional,moves,40.7887279819612,29.81630209654854
rf,poblacional,global,20.941073780492637,2.672573404297615
rf,poblacional,estacionario,19.378950749303137,1.892384080823839
rf,poblacional,migración,65.08929560150003,64.20234503167734
rf,poblacional,moves,42.352601972760965,30.0044075029664
—,persistencia,global,20.956667404747595,
—,persistencia,estacionario,19.610688949155737,
—,persistencia,migración,52.40663751973494,
