modo,scope,n_obs,top1,top3,dist_centroide_km,dist_nativa_km,pinball_lat,pinball_lon,coverage_lat,coverage_lon,bloque
poblacional,global,4037,0.7636859053752787,0.8962100569729997,20.92640241195915,2.8862465229765597,0.08189524507745265,0.06381296192694129,0.8375030963586821,0.8318057963834531,A_target_poblacional
poblacional,estacionario,3566,0.8370723499719573,0.9433538979248458,19.2476349451534,2.3003124069957948,,,,,A_target_poblacional
poblacional,migración,471,0.208067940552017,0.5392781316348195,62.679150525394355,60.91636778386276,,,,,A_target_poblacional
poblacional,moves,908,0.10022026431718062,0.5693832599118943,40.68303807441781,29.82840166970604,,,,,A_target_poblacional
persistencia,global,4037,0.7750805053257369,0.7750805053257369,20.956667404747595,,,,,,A_target_poblacional
persistencia,estacionario,3566,0.8401570386988222,0.8401570386988222,19.610688949155737,,,,,,A_target_poblacional
persistencia,migración,471,0.2823779193205945,0.2823779193205945,52.40663751973494,,,,,,A_target_poblacional
individual,global,405,0.6765432098765433,,14.39032024678668,6.357142356287941,,,0.7580246913580246,0.8469135802469135,B_per_individuo
individual,estacionario,357,0.7450980392156863,,13.16391616800715,5.164112520304148,,,,,B_per_individuo
individual,migración,48,0.16666666666666666,,73.19566251636152,68.00865302627219,,,,,B_per_individuo
individual,moves,126,0.18253968253968253,,35.43545949876522,25.0573194594008,,,,,B_per_individuo
poblacional@91916A,global,405,0.6790123456790124,,14.417586158001338,5.448233013299388,,,,,B_per_individuo
poblacional@91916A,estacionario,357,0.7563025210084033,,13.16391616800715,4.304056286567271,,,,,B_per_individuo
poblacional@91916A,migración,48,0.10416666666666667,,83.18428517394273,74.4197395839247,,,,,B_per_individuo
poblacional@91916A,moves,126,0.18253968253968253,,35.44895533726216,22.9934504764793,,,,,B_per_individuo
persistencia@91916A,global,405,0.6888888888888889,,16.566708715248893,,,,,,B_per_individuo
persistencia@91916A,estacionario,357,0.7478991596638656,,14.262453288324393,,,,,,B_per_individuo
persistencia@91916A,migración,48,0.25,,58.88096887042464,,,,,,B_per_individuo
