familia,modo,scope,n_obs,top1,top3,dist_centroide_km,dist_nativa_km,pinball_lat,pinball_lon,coverage_lat,coverage_lon,cruces_total
lgbm,poblacional,estacionario,3566,0.840437464946719,0.944475602916433,19.2476349451534,2.1136377818534635,,,,,
rf,poblacional,estacionario,3566,0.8429613011777902,0.9464385866517105,19.378950749303137,1.892384080823839,,,,,
xgb,poblacional,estacionario,3566,0.8370723499719573,0.9433538979248458,19.2476349451534,2.3003124069957948,,,,,
—,persistencia,estacionario,3566,0.8401570386988222,0.8401570386988222,19.610688949155737,,,,,,
lgbm,poblacional,global,4037,0.7691354966559326,0.8972008917513005,20.91569533679919,2.7148139413095995,0.08130446501277107,0.06344862246570036,0.7978697052266535,0.8000990834778301,254.0
rf,poblacional,global,4037,0.7676492444884816,0.8967054743621501,20.941073780492637,2.672573404297615,0.08262894958302369,0.06321528497233919,0.8612831310378994,0.853851870200644,0.0
xgb,poblacional,global,4037,0.7636859053752787,0.8962100569729997,20.92640241195915,2.8862465229765597,0.08189524507745265,0.06381296192694129,0.8375030963586821,0.8318057963834531,109.0
—,persistencia,global,4037,0.7750805053257369,0.7750805053257369,20.956667404747595,,,,,,
lgbm,poblacional,migración,471,0.22929936305732485,0.5392781316348195,62.23598339969749,61.749578848553384,,,,,
rf,poblacional,migración,471,0.19745222929936307,0.5201698513800425,65.08929560150003,64.20234503167734,,,,,
xgb,poblacional,migración,471,0.208067940552017,0.5392781316348195,62.679150525394355,60.91636778386276,,,,,
—,persistencia,migración,471,0.2823779193205945,0.2823779193205945,52.40663751973494,,,,,,
lgbm,poblacional,moves,908,0.09911894273127753,0.5715859030837004,40.7887279819612,29.81630209654854,,,,,
rf,poblacional,moves,908,0.0473568281938326,0.5638766519823789,42.352601972760965,30.0044075029664,,,,,
xgb,poblacional,moves,908,0.10022026431718062,0.5693832599118943,40.68303807441781,29.82840166970604,,,,,
